Repos,Dependent,data.repository.databaseId,data.repository.url,data.repository.name,data.repository.owner.login,data.repository.stargazerCount,data.repository.watchers.totalCount,data.repository.releases.nodes,data.repository.primaryLanguage.name,data.repository.languages.nodes,data.repository.forkCount,data.repository.isFork,data.repository.parent,data.repository.licenseInfo,data.repository.vulnerabilityAlerts.totalCount,data.repository.vulnerabilityAlerts.nodes,data.repository.licenseInfo.spdxId,data.repository.primaryLanguage
bootstrap-styled/v4,zloid/experiments-repo,222689557,https://github.com/zloid/experiments-repo,experiments-repo,zloid,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,samsdial/DialReact,221228911,https://github.com/samsdial/DialReact,DialReact,samsdial,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,slaytanic/onboarding,220422590,https://github.com/slaytanic/onboarding,onboarding,slaytanic,0,2,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'Python'}, {'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,paxxlaws/library,219250109,https://github.com/paxxlaws/library,library,paxxlaws,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,fwelpe/todolist,213410971,https://github.com/fwelpe/todolist,todolist,fwelpe,1,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,taiwanhua/fdtmpage,218491875,https://github.com/taiwanhua/fdtmpage,fdtmpage,taiwanhua,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,speedwar/styled-components-app,215833994,https://github.com/speedwar/styled-components-app,styled-components-app,speedwar,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,omegasenior/topbiketoursportugal,162314028,https://github.com/omegasenior/topbiketoursportugal,topbiketoursportugal,omegasenior,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}, {'name': 'TypeScript'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,rmozeika/monorift,213214791,https://github.com/rmozeika/monorift,monorift,rmozeika,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'Shell'}, {'name': 'TypeScript'}, {'name': 'Dockerfile'}, {'name': 'Objective-C'}, {'name': 'Ruby'}, {'name': 'Java'}, {'name': 'Starlark'}, {'name': 'HTML'}, {'name': 'Pug'}]",0,False,,,0,[],,
bootstrap-styled/v4,rickhysis/spacetock-search-property,211674485,https://github.com/rickhysis/spacetock-search-property,spacetock-search-property,rickhysis,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
